CODIGO_CLIENTE;UF;IDADE;ESCOLARIDADE;ESTADO_CIVIL;QT_FILHOS;CASA_PROPRIA;QT_IMOVEIS;VL_IMOVEIS;OUTRA_RENDA;OUTRA_RENDA_VALOR;TEMPO_ULTIMO_EMPREGO_MESES;TRABALHANDO_ATUALMENTE;ULTIMO_SALARIO;QT_CARROS;VALOR_TABELA_CARROS;SCORE
1;SP;19;Superior Cursando;Solteiro;0;Não;0;0;Não;0;8;Sim;1800;0;0;12
2;MG;23;Superior Completo;Solteiro;1;Não;0;0;Não;0;9;Não;4800;1;50000;18
3;SC;25;Segundo Grau Completo;Casado;0;Sim;1;220000;Não;0;18;Sim;2200;2;30000;23
4;PR;27;Superior Cursando;Casado;1;Sim;0;0;Não;0;22;Não;3900;0;0;29
5;RJ;28;Superior Completo;Divorciado;2;Não;1;370000;Não;0;30;Sim;;1;35000;34
6;SP;30;Segundo Grau Completo;Divorciado;0;Não;0;0;Não;0;14;Sim;3100;2;40000;40
7;MG;32;Superior Cursando;Solteiro;1;Sim;1;185000;Sim;3000;19;Sim;6800;0;0;45
8;SC;35;Superior Completo;Solteiro;1;Sim;2;450000;Sim;2400;25;Sim;22000;1;150000;51
9;PR;42;Segundo Grau Completo;Casado;0;Não;0;0;Não;0;48;Sim;4500;2;28000;56
10;RJ;45;Superior Cursando;Casado;0;Não;0;0;Não;0;120;Não;9800;0;0;62
11;SP;48;Superior Completo;Divorciado;2;Sim;2;600000;Não;0;15;Sim;15000;1;70000;67
12;MG;51;Segundo Grau Completo;Divorciado;1;Sim;0;0;Não;0;80;Não;6100;2;48000;73
13;SC;53;Superior Cursando;Casado;2;Não;1;280000;Não;0;12;Sim;9000;0;0;78
14;PR;55;Superior Completo;Casado;2;Não;3;700000;Não;0;75;Não;17500;1;50000;84
15;RJ;57;Segundo Grau Completo;Casado;3;Sim;1;340000;Sim;4000;90;Sim;13000;2;180000;89
16;SP;62;Superior Cursando;Casado;3;Sim;1;450000;Sim;3200;93;Não;5300;0;0;95
17;RJ;65;Superior Completo;Viuvo;1;Não;3;900000;Não;0;150;Não;18300;1;80000;98
18;SP;19;Superior Cursando;Solteiro;0;Não;0;0;Não;0;8;Sim;1800;0;0;12
19;MG;23;Superior Completo;Solteiro;1;Não;0;0;Não;0;9;Não;4800;1;50000;18
20;SC;25;Segundo Grau Completo;Casado;0;Sim;1;220000;Não;0;18;Sim;2200;2;30000;23
21;PR;27;Superior Cursando;Casado;1;Sim;0;0;Não;0;22;Não;3900;0;0;29
22;RJ;28;Superior Completo;Divorciado;2;Não;1;370000;Não;0;30;Sim;11500;1;35000;34
23;SP;30;Segundo Grau Completo;Divorciado;0;Não;0;0;Não;0;14;Sim;3100;2;40000;40
24;MG;32;Superior Cursando;Solteiro;1;Sim;1;185000;Sim;3000;19;Sim;6800;0;0;45
25;SC;35;Superior Completo;Solteiro;1;Sim;2;450000;Sim;2400;25;Sim;22000;1;150000;51
26;PR;42;Segundo Grau Completo;Casado;0;Não;0;0;Não;0;48;Sim;4500;2;28000;56
27;RJ;45;Superior Cursando;Casado;0;Não;0;0;Não;0;120;Não;9800;0;0;62
28;SP;48;Superior Completo;Divorciado;38;Sim;2;600000;Não;0;15;Sim;15000;1;70000;67
29;MG;51;Segundo Grau Completo;Divorciado;1;Sim;0;0;Não;0;80;Não;6100;2;48000;73
30;SC;53;Superior Cursando;Casado;2;Não;1;280000;Não;0;12;Sim;9000;0;0;78
31;PR;55;Superior Completo;Casado;2;Não;3;700000;Não;0;75;Não;17500;1;50000;84
32;RJ;57;Segundo Grau Completo;Casado;3;Sim;1;340000;Sim;4000;90;Sim;13000;2;180000;89
