,fixture.id,fixture.date,league.round,league.season,home.id,score.home,away.id,score.away,winner,team.id,team.name,home.name,away.name,BP,BS,CK,Fouls,GkS,O,P%,PAc,RC,SI,SoffG,SonG,Soutb,TS,TP,YC,GA,GS,PK,TkT,TkB,TkI,DT,DW,DrA,DrS,DrP,FDr,PyW,PyC,PySc,PyM,PyS,RD,RF,RM
6740,94473,2019-04-28T19:00:00+00:00,1,2019,118,3.0,131,2.0,2.0,118,Bahia,Bahia,Corinthians,43.0,1.0,4.0,17.0,1.0,1.0,75.0,265.0,,9.0,8.0,6.0,6.0,15.0,353.0,1.0,2.0,1.0,12.0,16.0,3.0,10.0,142.0,71.0,18.0,13.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,6.74,7.033333333333334,6.95
6741,94475,2019-04-27T22:00:00+00:00,1,2019,132,2.0,119,0.0,2.0,119,Internacional,Chapecoense-SC,Internacional,57.0,4.0,5.0,11.0,5.0,2.0,81.0,410.0,,9.0,9.0,7.0,11.0,20.0,509.0,1.0,0.0,5.0,16.0,16.0,0.0,8.0,110.0,65.0,13.0,9.0,6.0,13.0,0.0,1.0,0.0,0.0,0.0,6.733333333333333,7.4,6.8500000000000005
6742,94480,2019-04-27T19:00:00+00:00,1,2019,126,2.0,120,0.0,2.0,120,Botafogo,Sao Paulo,Botafogo,72.0,7.0,2.0,7.0,2.0,1.0,89.0,628.0,,2.0,2.0,2.0,9.0,11.0,702.0,4.0,0.0,2.0,4.0,10.0,2.0,4.0,85.0,49.0,7.0,4.0,11.0,20.0,0.0,0.0,0.0,0.0,0.0,6.5,,6.6000000000000005
6743,94479,2019-04-28T22:00:00+00:00,1,2019,121,4.0,154,0.0,2.0,121,Palmeiras,Palmeiras,Fortaleza EC,52.0,4.0,6.0,12.0,5.0,3.0,79.0,300.0,,12.0,5.0,9.0,6.0,18.0,379.0,1.0,4.0,5.0,17.0,20.0,1.0,13.0,104.0,66.0,13.0,10.0,8.0,13.0,0.0,0.0,0.0,0.0,0.0,7.779999999999999,7.3,7.4375
6744,94477,2019-04-28T22:00:00+00:00,1,2019,124,0.0,151,1.0,0.0,124,Fluminense,Fluminense,Goias,71.0,4.0,5.0,14.0,1.0,1.0,90.0,540.0,,11.0,8.0,3.0,4.0,15.0,597.0,4.0,0.0,1.0,9.0,5.0,0.0,3.0,97.0,49.0,22.0,15.0,5.0,8.0,0.0,0.0,0.0,1.0,0.0,6.7,6.7,6.816666666666666
6745,94480,2019-04-27T19:00:00+00:00,1,2019,126,2.0,120,0.0,2.0,126,Sao Paulo,Sao Paulo,Botafogo,28.0,2.0,3.0,23.0,2.0,2.0,76.0,205.0,,2.0,1.0,4.0,5.0,7.0,271.0,,2.0,2.0,5.0,4.0,7.0,5.0,85.0,36.0,20.0,11.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,6.859999999999999,6.949999999999999,6.871428571428572
6746,94476,2019-04-28T00:00:00+00:00,1,2019,127,3.0,135,1.0,2.0,127,Flamengo,Flamengo,Cruzeiro,57.0,9.0,6.0,13.0,,,85.0,441.0,,14.0,5.0,5.0,5.0,19.0,516.0,4.0,2.0,0.0,13.0,9.0,1.0,20.0,94.0,53.0,9.0,7.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,6.62,7.8,7.483333333333333
6747,94478,2019-04-28T14:00:00+00:00,1,2019,130,1.0,128,2.0,0.0,128,Santos,Gremio,Santos,36.0,,2.0,18.0,10.0,1.0,69.0,234.0,1.0,4.0,3.0,5.0,4.0,8.0,337.0,4.0,1.0,10.0,5.0,10.0,5.0,22.0,112.0,45.0,11.0,8.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,7.366666666666667,7.1,6.333333333333333
6748,94474,2019-04-28T19:00:00+00:00,1,2019,129,4.0,150,0.0,2.0,129,Ceara,Ceara,CSA,54.0,3.0,3.0,15.0,1.0,2.0,88.0,434.0,,10.0,5.0,8.0,6.0,16.0,496.0,,3.0,1.0,14.0,11.0,0.0,8.0,94.0,36.0,14.0,6.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,7.266666666666667,7.800000000000001,6.8
6749,94478,2019-04-28T14:00:00+00:00,1,2019,130,1.0,128,2.0,0.0,130,Gremio,Gremio,Santos,64.0,6.0,12.0,12.0,3.0,2.0,84.0,504.0,,12.0,8.0,11.0,13.0,25.0,599.0,3.0,1.0,3.0,20.0,19.0,0.0,16.0,112.0,67.0,16.0,12.0,8.0,17.0,0.0,0.0,0.0,0.0,0.0,6.82,7.166666666666667,7.166666666666667
